||Sütunlar|
Satırlar||Belediye, Köy Ve Mahalle Nüfusları|
||Ölçüm bazında|
|||
|||
|İzmir(Bornova/Bornova Bel./Erzene Mah.)-40990|39767.0|
|İzmir(Bornova/Bornova Bel./Evka 3 Mah.)-40991|20649.0|
|İzmir(Bornova/Bornova Bel./Evka 4 Mah.)-40974|14179.0|
|İzmir(Bornova/Bornova Bel./Gazi Osman Paşa Mah.)-40975|12642.0|
|İzmir(Bornova/Bornova Bel./Gökdere Mah.)-192763|379.0|
|İzmir(Bornova/Bornova Bel./Gürpınar Mah.)-40992|12214.0|
|İzmir(Bornova/Bornova Bel./İnönü Mah.)-40977|26210.0|
|İzmir(Bornova/Bornova Bel./Işıklar Mah.)-40976|2507.0|
|İzmir(Bornova/Bornova Bel./Karaçam Mah.)-192767|691.0|
|İzmir(Bornova/Bornova Bel./Karacaoğlan Mah.)-40993|8949.0|
|İzmir(Bornova/Bornova Bel./Kavaklıdere Mah.)-192775|3220.0|
|İzmir(Bornova/Bornova Bel./Kayadibi Mah.)-192787|288.0|
|İzmir(Bornova/Bornova Bel./Kazımdirik Mah.)-40994|36762.0|
|İzmir(Bornova/Bornova Bel./Kemalpaşa Mah.)-40995|11065.0|
|İzmir(Bornova/Bornova Bel./Kızılay Mah.)-40996|15749.0|
|İzmir(Bornova/Bornova Bel./Koşukavak Mah.)-40978|7690.0|
|İzmir(Bornova/Bornova Bel./Kurudere Mah.)-192791|61.0|
|İzmir(Bornova/Bornova Bel./Laka Mah.)-192793|449.0|
|İzmir(Bornova/Bornova Bel./Meriç Mah.)-40979|8568.0|
|İzmir(Bornova/Bornova Bel./Merkez Mah.)-40999|6198.0|
|İzmir(Bornova/Bornova Bel./Mevlana Mah.)-41000|25747.0|
|İzmir(Bornova/Bornova Bel./Naldöken Mah.)-41001|10874.0|
|İzmir(Bornova/Bornova Bel./Rafet Paşa Mah.)-40980|17716.0|
|İzmir(Bornova/Bornova Bel./Sarnıçköy Mah.)-192795|103.0|
|İzmir(Bornova/Bornova Bel./Serintepe Mah.)-40981|6397.0|
|İzmir(Bornova/Bornova Bel./Tuna Mah.)-41003|7200.0|
|İzmir(Bornova/Bornova Bel./Ümit Mah.)-41004|4380.0|
|İzmir(Bornova/Bornova Bel./Yakaköy Mah.)-192797|1606.0|
|İzmir(Bornova/Bornova Bel./Yeşilçam Mah.)-40982|3938.0|
|İzmir(Bornova/Bornova Bel./Yeşilova Mah.)-40983|32289.0|
|İzmir(Bornova/Bornova Bel./Yıldırım Beyazıt Mah.)-40984|5637.0|
|İzmir(Bornova/Bornova Bel./Yunus Emre Mah.)-41005|3190.0|
|İzmir(Bornova/Bornova Bel./Zafer Mah.)-40985|9019.0|
|İzmir(Buca/Buca Bel./29 Ekim Mah.)-41045|1632.0|
|İzmir(Buca/Buca Bel./Adatepe Mah.)-41006|20517.0|
|İzmir(Buca/Buca Bel./Akıncılar Mah.)-41007|11261.0|
|İzmir(Buca/Buca Bel./Atatürk Mah.)-41008|19651.0|
